Course,Prereqs
LE/EECS 3604 4.00,"SC/MATH 1014,SC/MATH 1025,SC/PHYS 2020"
LE/EECS 3610 4.00,"LE/EECS 2210,SC/PHYS 3050"
LE/EECS 3611 4.00,LE/EECS 2210
LE/EECS 3622 4.00,"LE/EECS 2200,LE/EECS 4622"
LE/EECS 3910 3.00,
LE/EECS 3911 3.00,
LE/EECS 4070 3.00,"LE/EECS 2030,LE/EECS 1030"
LE/EECS 4080 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 4081,LE/EECS 4082,LE/EECS 4084,LE/EECS 4088,LE/EECS 4480,LE/ENG 4000,LE/CSE 4081,SC/CSE 4081,LE/CSE 4082,SC/CSE 4082,LE/CSE 4084,SC/CSE 4084,LE/CSE 4088,SC/CSE 4088,LE/CSE 4480,SC/CSE 4480,LE/EECS 4700,LE/CSE 4700,LE/ENG 4000,SC/ENG 4000"
LE/EECS 4088 6.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 4080,LE/EECS 4081,LE/EECS 4082,LE/EECS 4084,LE/EECS 4480,LE/EECS 4700,LE/ENG 4000,LE/CSE 4080,LE/CSE 4081,LE/CSE 4082,LE/CSE 4084,LE/CSE 4480,LE/CSE 4700,SC/CSE 4080,SC/CSE 4081,SC/CSE 4082,SC/CSE 4084,SC/CSE 4480,SC/ENG 4000"
LE/EECS 4090 6.00,"LE/EECS 3311,LE/EECS 3101,LE/EECS 3342,LE/EECS 4312,LE/EECS 4313"
LE/EECS 4101 3.00,"GS/CSE 5101,LE/EECS 2030,LE/EECS 1030,LE/EECS 2001,LE/EECS 3101,LE/CSE 4101,SC/CSE 4101"
LE/EECS 4111 3.00,"GS/CSE 5111,LE/EECS 2030,LE/EECS 1030,LE/EECS 2001,LE/EECS 3101,LE/CSE 4111"
LE/EECS 4115 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 2001,LE/EECS 3101,LE/CSE 4115"
LE/EECS 4161 3.00,LE/EECS 3101
LE/EECS 4201 3.00,"LE/EECS 3201,LE/EECS 3221,LE/CSE 4201"
LE/EECS 4214 4.00,"LE/EECS 3213,SC/MATH 2030,SC/MATH 2930,LE/EECS 3451,LE/EECS 3602,LE/ESSE 4020,SC/MATH 4830,SC/PHYS 4060,SC/PHYS 4250,LE/CSE 4214,SC/CSE 4214"
LE/EECS 4215 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3213"
LE/EECS 4222 3.00,"LE/EECS 3101,LE/EECS 3213,LE/EECS 3214,LE/EECS 3221"
LE/EECS 4312 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3311,LE/CSE 4312,SC/CSE 4312"
LE/EECS 4313 3.00,"LE/EECS 2030,LE/EECS 3311,LE/CSE 4313"
LE/EECS 4314 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3311"
LE/EECS 4401 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3401"
LE/EECS 4404 3.00,"LE/EECS 2030,LE/EECS 1030,SC/MATH 2030,SC/MATH 2930,SC/MATH 1131"
LE/EECS 4412 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3101,LE/EECS 3421,SC/MATH 2030,SC/MATH 2930,SC/MATH 1131,LE/CSE 4412"
LE/EECS 4413 3.00,"LE/EECS 2030,LE/EECS 1030,LE/CSE 4413"
LE/EECS 4415 3.00,"LE/EECS 3421,LE/EECS 3101"
LE/EECS 4421 3.00,"SC/MATH 1025,SC/MATH 1310,LE/EECS 2031,LE/CSE 4421"
LE/EECS 4441 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3461,LE/CSE 4441"
LE/EECS 4443 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3461"
LE/EECS 4461 3.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3461,LE/CSE 4461"
LE/EECS 4462 3.00,LE/EECS 2031
LE/EECS 4480 3.00,"LE/EECS 4080,LE/EECS 4081,LE/EECS 4082,LE/EECS 4084,LE/EECS 4088,LE/EECS 4700,LE/CSE 4080,LE/CSE 4081,LE/CSE 4084,LE/CSE 4088,LE/CSE 4700,LE/CSE 4082,SC/CSE 4080,SC/CSE 4081,SC/CSE 4084,SC/CSE 4088,SC/CSE 4700,SC/CSE 4082"
LE/EECS 4481 4.00,"LE/EECS 2030,LE/EECS 1030,LE/EECS 3214"
LE/EECS 4484 3.00,"LE/EECS 2101,LE/EECS 2011,LE/EECS 3221,LE/EECS 3482"
LE/EECS 4612 4.00,"LE/EECS 2200,LE/EECS 2210,LE/EECS 3201"
LE/EECS 4613 4.00,"LE/EECS 2210,LE/EECS 3603"
LE/EECS 4614 4.00,"LE/EECS 3604,SC/PHYS 4020,LE/EECS 2210,SC/PHYS 3150"
LE/EECS 4627 3.00,"LE/EECS 3622,LE/EECS 4622"
LE/EECS 4643 4.00,"LE/EECS 3602,LE/EECS 3451"
LE/EECS 4910 3.00,
GS/EECS 5101 3.00,
GS/EECS 5115 3.00,LE/EECS 3101
GS/EECS 5324 3.00,
GS/EECS 5326 3.00,LE/EECS 4401
GS/EECS 5351 3.00,
GS/EECS 5501 3.00,
GS/EECS 5612 3.00,
GS/EECS 6002 3.00,
GS/EECS 6154 3.00,
GS/EECS 6320 3.00,
GS/EECS 6322 3.00,
GS/EECS 6327 3.00,
GS/EECS 6330 3.00,
GS/EECS 6414 3.00,
GS/EECS 6421 3.00,
GS/EECS 6446 3.00,
GS/EECS 6448 3.00,
GS/EECS 6703 3.00,
GS/EECS 6705 3.00,
